item_sku,rec_sku,category,rec_category
IPDLM17A,TQSG3F250,Socket and Drive Tools,Mechanical Adjustable Click Type
IPDLM17A,SGRHT6BR,Socket and Drive Tools,Job Specific Tools
IPDLM17A,SHCP1B,Socket and Drive Tools,Job Specific Tools
IPDLM17A,VS814A,Socket and Drive Tools,Wrenches
R404,144TMPB,Job Specific Tools,Socket and Drive Tools
R404,EECT424HD,Job Specific Tools,Testing and Electronics
R404,OEX38B,Job Specific Tools,Wrenches
R404,AW1015DHK,Job Specific Tools,"Screwdrivers, Nut Drivers & Keys"
R404,SDMT20D,Job Specific Tools,"Screwdrivers, Nut Drivers & Keys"
R404,SDMT25D,Job Specific Tools,"Screwdrivers, Nut Drivers & Keys"
R404,AWM110DHK,Job Specific Tools,"Screwdrivers, Nut Drivers & Keys"
R404,TMC109A,Job Specific Tools,"Screwdrivers, Nut Drivers & Keys"
R404,AWEFBH11K,Job Specific Tools,"Screwdrivers, Nut Drivers & Keys"
R404,AWMG9-7,Job Specific Tools,"Screwdrivers, Nut Drivers & Keys"
SR80A,FRW10,Socket and Drive Tools,Wrenches
SR80A,DS806AK,Socket and Drive Tools,Wrenches
SR80A,AW1015DHK,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
SR80A,YA2020,Socket and Drive Tools,General Hand Tools
SR80A,RBYA605,Socket and Drive Tools,Wrenches
SR80A,PHP2A,Socket and Drive Tools,Job Specific Tools
SR80A,KRA2407PBO,Socket and Drive Tools,Classic Series Tool Storage
SR80A,AT700F,Socket and Drive Tools,"Power Tools, Air"
SR80A,AWMEF8K,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
SR80A,AWEF6K,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
SFSM11,SGDP42IRBR,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
SFSM11,PPC820B,Socket and Drive Tools,"Hammers, Punches, and Chisels"
SFSM11,PPC206A,Socket and Drive Tools,"Hammers, Punches, and Chisels"
SFSM11,SHD4R,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
SFSM11,PPC203A,Socket and Drive Tools,"Hammers, Punches, and Chisels"
SFSM11,LN46ACF,Socket and Drive Tools,Pliers
SFSM11,UIM225,Socket and Drive Tools,General Hand Tools
SFSM11,UPTM65K,Socket and Drive Tools,General Hand Tools
SFSM11,PKNC150,Socket and Drive Tools,General Hand Tools
SFSM11,AWCGT500,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
SGA173BR,206EAU,Job Specific Tools,Socket and Drive Tools
SGA173BR,LP10WR,Job Specific Tools,Pliers
SGA173BR,UIM225,Job Specific Tools,General Hand Tools
SGA173BR,117TMM,Job Specific Tools,Socket and Drive Tools
SGA173BR,317AMMPC,Job Specific Tools,Socket and Drive Tools
SGA173BR,SOEX707,Job Specific Tools,Wrenches
SGA173BR,AWM110DHK,Job Specific Tools,"Screwdrivers, Nut Drivers & Keys"
SGA173BR,TPM16,Job Specific Tools,General Hand Tools
SGA173BR,PKNC150,Job Specific Tools,General Hand Tools
SGA173BR,KRA2007FPBO,Job Specific Tools,Heritage Series Tool Storage
313TWYA,ATECH2FR125B,Socket and Drive Tools,Electronic Torque Wrenches
313TWYA,SHD2R,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
313TWYA,SGDX60BR,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
313TWYA,PGP120,Socket and Drive Tools,Job Specific Tools
313TWYA,EFPHANNIBALB,Socket and Drive Tools,Ear And Face Protection
313TWYA,AWBPH13,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
313TWYA,OXIM6B,Socket and Drive Tools,Wrenches
313TWYA,AWMBPH9,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
313TWYA,PTGR450,Socket and Drive Tools,"Power Tools, Air"
313TWYA,BHS7A,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
FHR80G,SGDMRC103A,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
FHR80G,OXRM710A,Socket and Drive Tools,Wrenches
FHR80G,OEXS709B,Socket and Drive Tools,Wrenches
FHR80G,AF102,Socket and Drive Tools,Job Specific Tools
FHR80G,OFW3,Socket and Drive Tools,Job Specific Tools
FHR80G,PTM2,Socket and Drive Tools,General Hand Tools
FHR80G,PTM30,Socket and Drive Tools,General Hand Tools
FHR80G,AWBPH13,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
FHR80G,OXIM6B,Socket and Drive Tools,Wrenches
FHR80G,AWMBPH9,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
F80,LP10WR,Socket and Drive Tools,Pliers
F80,UIM225,Socket and Drive Tools,General Hand Tools
F80,S9704KA,Socket and Drive Tools,Job Specific Tools
F80,PRH57A,Socket and Drive Tools,Pliers
F80,PK53A,Socket and Drive Tools,General Hand Tools
F80,PTIM5,Socket and Drive Tools,General Hand Tools
F80,AWM110DK,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
F80,AW1013DK,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
F80,AC5C,Socket and Drive Tools,Job Specific Tools
F80,AWM110DHK,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
SIMM170,SPBS18AR,Socket and Drive Tools,General Hand Tools
SIMM170,SGD4BR,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
SIMM170,91ACP,Socket and Drive Tools,Pliers
SIMM170,SHD1R,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
SIMM170,PPC103A,Socket and Drive Tools,"Hammers, Punches, and Chisels"
SIMM170,PPC4A,Socket and Drive Tools,"Hammers, Punches, and Chisels"
SIMM170,PWCS7ACF,Socket and Drive Tools,Pliers
SIMM170,SHD2R,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
SIMM170,PPC1A,Socket and Drive Tools,"Hammers, Punches, and Chisels"
SIMM170,HBBD24,Socket and Drive Tools,"Hammers, Punches, and Chisels"
SHD4O,YA337A,"Screwdrivers, Nut Drivers & Keys",General Hand Tools
SHD4O,S6106KA,"Screwdrivers, Nut Drivers & Keys",Job Specific Tools
SHD4O,DS809K,"Screwdrivers, Nut Drivers & Keys",Wrenches
SHD4O,CSA12CR,"Screwdrivers, Nut Drivers & Keys",General Hand Tools
SHD4O,8HR,"Screwdrivers, Nut Drivers & Keys",General Hand Tools
SHD4O,ECFB200BL,"Screwdrivers, Nut Drivers & Keys",Lighting
SHD4O,BF620C,"Screwdrivers, Nut Drivers & Keys",Job Specific Tools
SHD4O,GA98A,"Screwdrivers, Nut Drivers & Keys",General Hand Tools
SHD4O,10R,"Screwdrivers, Nut Drivers & Keys",General Hand Tools
SHD4O,AVSNP01160,"Screwdrivers, Nut Drivers & Keys",Job Specific Tools
SGD6BG,206EAU,"Screwdrivers, Nut Drivers & Keys",Socket and Drive Tools
SGD6BG,TMM4,"Screwdrivers, Nut Drivers & Keys",Socket and Drive Tools
SGD6BG,OEXM6B,"Screwdrivers, Nut Drivers & Keys",Wrenches
SGD6BG,AC58E,"Screwdrivers, Nut Drivers & Keys",Job Specific Tools
SGD6BG,PT28E,"Screwdrivers, Nut Drivers & Keys",General Hand Tools
SGD6BG,MTTL300,"Screwdrivers, Nut Drivers & Keys",Testing and Electronics
SGD6BG,ACT83A,"Screwdrivers, Nut Drivers & Keys",Job Specific Tools
SGD6BG,OFW2,"Screwdrivers, Nut Drivers & Keys",Job Specific Tools
SGD6BG,OFW3,"Screwdrivers, Nut Drivers & Keys",Job Specific Tools
SGD6BG,FB303B,"Screwdrivers, Nut Drivers & Keys",General Hand Tools
FM10,SGD4BR,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
FM10,SGD2BR,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
FM10,SRPCR3800,Socket and Drive Tools,Pliers
FM10,SOEXM710,Socket and Drive Tools,Wrenches
FM10,PPC203A,Socket and Drive Tools,"Hammers, Punches, and Chisels"
FM10,PH3050BR,Socket and Drive Tools,"Power Tools, Air"
FM10,AWMEF8K,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
FM10,AWEF6K,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
FM10,10SSD,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
FM10,340SSDP,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
AWBMXL9,FXK8,"Screwdrivers, Nut Drivers & Keys",Socket and Drive Tools
AWBMXL9,FXK4,"Screwdrivers, Nut Drivers & Keys",Socket and Drive Tools
AWBMXL9,FHLX80B,"Screwdrivers, Nut Drivers & Keys",Socket and Drive Tools
AWBMXL9,S8,"Screwdrivers, Nut Drivers & Keys",Socket and Drive Tools
AWBMXL9,RXFS605B,"Screwdrivers, Nut Drivers & Keys",Wrenches
AWBMXL9,MAGDISH,"Screwdrivers, Nut Drivers & Keys",Tool Storage Accessories
AWBMXL9,JT13B,"Screwdrivers, Nut Drivers & Keys",Power Tool Accessories
AWBMXL9,THRLX72,"Screwdrivers, Nut Drivers & Keys",Socket and Drive Tools
AWBMXL9,FB316B,"Screwdrivers, Nut Drivers & Keys",General Hand Tools
AWBMXL9,205IPF,"Screwdrivers, Nut Drivers & Keys",Socket and Drive Tools
CGRS865K2,91ACP,"Power Tools, Cordless",Pliers
CGRS865K2,SGD6BR,"Power Tools, Cordless","Screwdrivers, Nut Drivers & Keys"
CGRS865K2,F80,"Power Tools, Cordless",Socket and Drive Tools
CGRS865K2,TMXK2,"Power Tools, Cordless",Socket and Drive Tools
CGRS865K2,TMXK60,"Power Tools, Cordless",Socket and Drive Tools
CGRS865K2,SRPCR4700,"Power Tools, Cordless",Pliers
CGRS865K2,GFAT1E,"Power Tools, Cordless",Socket and Drive Tools
CGRS865K2,FX1,"Power Tools, Cordless",Socket and Drive Tools
CGRS865K2,SIMM180,"Power Tools, Cordless",Socket and Drive Tools
CGRS865K2,LN47ACF,"Power Tools, Cordless",Pliers
KAC1224TCA,SGASA204CR,Creepers/Covers,General Hand Tools
KAC1224TCA,T72,Creepers/Covers,Socket and Drive Tools
KAC1224TCA,SRPCR4700,Creepers/Covers,Pliers
KAC1224TCA,SIMM180,Creepers/Covers,Socket and Drive Tools
KAC1224TCA,BB9008,Creepers/Covers,Job Specific Tools
KAC1224TCA,FABLM5E,Creepers/Covers,Socket and Drive Tools
KAC1224TCA,RC980,Creepers/Covers,Job Specific Tools
KAC1224TCA,YA2850A,Creepers/Covers,Job Specific Tools
KAC1224TCA,HD6529,Creepers/Covers,Job Specific Tools
KAC1224TCA,GF22,Creepers/Covers,Job Specific Tools
FTA35,HBFE48,Socket and Drive Tools,"Hammers, Punches, and Chisels"
FTA35,61CF,Socket and Drive Tools,Pliers
FTA35,808CF,Socket and Drive Tools,Pliers
FTA35,CSA8CR,Socket and Drive Tools,General Hand Tools
FTA35,ATECH1FS300,Socket and Drive Tools,Electronic Torque Wrenches
FTA35,SGDMRC4A,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
FTA35,ECHDF042,Socket and Drive Tools,Lighting
FTA35,MAGDISH,Socket and Drive Tools,Tool Storage Accessories
FTA35,A277,Socket and Drive Tools,Tool Storage Accessories
FTA35,FRW10,Socket and Drive Tools,Wrenches
GLASS50R,GLOVE300BL,,Gloves
GLASS50R,GLOVEORIGPLUSL,,Gloves
GLASS50R,GLOVE1100L,,Gloves
GLASS50R,GLOVE900LR,,Gloves
GLASS50R,EARPLUGBAND,,Ear And Face Protection
GLASS50R,AT4135,,Power Tool Accessories
GLASS50R,PK52A,,General Hand Tools
GLASS50R,ACT1290A,,Job Specific Tools
