item_sku,rec_sku,price
IPLM19C,FU8A,67.0
IPLM19C,103UFTS,213.5
IPLM19C,IPF800B,70.25
IPLM19C,207IPFM,435.0
IPLM19C,IPLM17C,90.75
IPLM22C,205IPF,273.0
IPLM22C,307IPLMY,640.0
IPLM22C,TMU8B,61.0
IPLM22C,106TMUSA,356.0
IPLM22C,IP80D,84.75
IPLM22C,FU8A,67.0
IPLM22C,103UFTS,213.5
IPLM22C,IPF800B,70.25
IPLM22C,207IPFM,435.0
IPLM22C,IPLM19C,96.75
S8,307IPLMY,640.0
S8,106TMUSA,356.0
S8,IP80D,84.75
S8,103UFTS,213.5
S8,IPF800B,70.25
S8,207IPFM,435.0
S8,TMU8B,61.0
S8,FU8A,67.0
S8,206AFSA,381.0
S8,206FSUMA,403.0
TMU101A,307IPLMY,640.0
TMU101A,TMU8B,61.0
TMU101A,106TMUSA,356.0
TMU101A,IP80D,84.75
TMU101A,FU8A,67.0
TMU101A,103UFTS,213.5
TMU101A,IPF800B,70.25
TMU101A,207IPFM,435.0
TMU101A,TMU81B,57.75
TMU101A,TMU121A,58.25
TMU121A,IP80D,84.75
TMU121A,FU8A,67.0
TMU121A,103UFTS,213.5
TMU121A,IPF800B,70.25
TMU121A,207IPFM,435.0
TMU121A,TMU101A,58.25
TMU121A,TMU81B,57.75
TMU121A,TMU141A,59.5
TMU121A,TMU181A,61.25
TMU121A,TMU161A,61.25
TMU141A,IP80D,84.75
TMU141A,FU8A,67.0
TMU141A,103UFTS,213.5
TMU141A,IPF800B,70.25
TMU141A,207IPFM,435.0
TMU141A,TMU101A,58.25
TMU141A,TMU81B,57.75
TMU141A,TMU181A,61.25
TMU141A,TMU121A,58.25
TMU141A,TMU161A,61.25
TMU161A,106TMUSA,356.0
TMU161A,IP80D,84.75
TMU161A,FU8A,67.0
TMU161A,103UFTS,213.5
TMU161A,IPF800B,70.25
TMU161A,207IPFM,435.0
TMU161A,TMU81B,57.75
TMU161A,TMU121A,58.25
TMU161A,TMU181A,61.25
TMU161A,TMU141A,59.5
TMU181A,106TMUSA,356.0
TMU181A,IP80D,84.75
TMU181A,FU8A,67.0
TMU181A,103UFTS,213.5
TMU181A,IPF800B,70.25
TMU181A,207IPFM,435.0
TMU181A,TMU121A,58.25
TMU181A,TMU81B,57.75
TMU181A,TMU161A,61.25
TMU181A,TMU141A,59.5
TMU81B,IP80D,84.75
TMU81B,FU8A,67.0
TMU81B,103UFTS,213.5
TMU81B,IPF800B,70.25
TMU81B,207IPFM,435.0
TMU81B,TMU101A,58.25
TMU81B,TMU181A,61.25
TMU81B,TMU121A,58.25
TMU81B,TMU161A,61.25
TMU81B,TMU141A,59.5
TMU8B,307IPLMY,640.0
TMU8B,TMU8B,61.0
TMU8B,106TMUSA,356.0
TMU8B,IP80D,84.75
TMU8B,103UFTS,213.5
TMU8B,IPF800B,70.25
TMU8B,207IPFM,435.0
TMU8B,FU8A,67.0
TMU8B,206AFSA,381.0
TMU8B,206FSUMA,403.0
TMUS141A,205IPF,273.0
TMUS141A,307IPLMY,640.0
TMUS141A,TMU8B,61.0
TMUS141A,106TMUSA,356.0
TMUS141A,IP80D,84.75
TMUS141A,FU8A,67.0
TMUS141A,103UFTS,213.5
TMUS141A,IPF800B,70.25
TMUS141A,207IPFM,435.0
TMUS141A,TMUS161A,61.25
TMUS161A,205IPF,273.0
TMUS161A,307IPLMY,640.0
TMUS161A,106TMUSA,356.0
TMUS161A,IP80D,84.75
TMUS161A,103UFTS,213.5
TMUS161A,IPF800B,70.25
TMUS161A,207IPFM,435.0
TMUS161A,FU8A,67.0
TMUS161A,TMU8B,61.0
TMUS161A,TMUS141A,59.5
TMUS181A,307IPLMY,640.0
TMUS181A,TMU8B,61.0
TMUS181A,106TMUSA,356.0
TMUS181A,IP80D,84.75
TMUS181A,FU8A,67.0
TMUS181A,103UFTS,213.5
TMUS181A,IPF800B,70.25
TMUS181A,207IPFM,435.0
TMUS181A,TMUS161A,61.25
TMUS181A,TMUS141A,59.5
10MA,SGA173BR,37.75
10MA,PK53A,25.75
10MA,YA339A,18.6
10MA,HSG319,53.5
10MA,CSA12CR,47.0
10MA,YA337A,28.0
10MA,SGASA204CR,67.25
10MA,8R,18.3
10MA,GA98A,27.75
10MA,CSA8CR,40.25
10MA,SGHF616BR,24.35
10MA,14V,88.75
10MA,8HR,33.25
10MA,BF775C-A,155.0
10R,SGASA104BR,125.5
10R,RTD48,198.0
10R,YA337A,28.0
10R,10MA,19.25
10R,HSG319,53.5
10R,CSA12CR,47.0
10R,8HR,33.25
10R,SGASA204CR,67.25
10R,SGHF616BR,24.35
10R,PKNC200,61.0
14V,SGRHT6BR,247.0
14V,SGA173BR,37.75
14V,HSG319,53.5
14V,SGHBF500A,252.0
14V,CSA8CR,40.25
14V,SGASA104BR,125.5
14V,RTD48,198.0
14V,SGASA204CR,67.25
14V,PK50A,24.05
14V,BF775C-A,155.0
8HR,RTD48,198.0
8HR,YA339A,18.6
8HR,YA337A,28.0
8HR,HSG319,53.5
8HR,8R,18.3
8HR,GA98A,27.75
8HR,10MA,19.25
8HR,SGHF616BR,24.35
8HR,SGASA204CR,67.25
8HR,10R,21.8
8R,PK53A,25.75
8R,CSA8CR,40.25
8R,HSG319,53.5
8R,GA98A,27.75
8R,YA337A,28.0
8R,SGHF616BR,24.35
8R,YA339A,18.6
8R,SGASA204CR,67.25
8R,10MA,19.25
8R,8HR,33.25
AC58E,HSG319,53.5
AC58E,PK53A,25.75
AC58E,YA337A,28.0
AC58E,SGCP1BR,50.0
AC58E,PK52A,25.75
AC58E,CSA8CR,40.25
AC58E,SGA173BR,37.75
AC58E,PK23A,25.5
AC58E,SGASA204CR,67.25
AC58E,10MA,19.25
AC58E,8R,18.3
AC58E,AC5C,9.9
AC5C,SGRHT6BR,247.0
AC5C,SGHBF500A,252.0
AC5C,SGASA104BR,125.5
AC5C,RTD48,198.0
AC5C,HSG319,53.5
AC5C,SGASA204CR,67.25
AC5C,SGA173BR,37.75
AC5C,PK23A,25.5
AC5C,AC58E,11.4
AC5C,CSA8CR,40.25
BF775C-A,SGRHT6BR,247.0
BF775C-A,SGA173BR,37.75
BF775C-A,HSG319,53.5
BF775C-A,SGHBF500A,252.0
BF775C-A,CSA8CR,40.25
BF775C-A,SGASA104BR,125.5
BF775C-A,RTD48,198.0
BF775C-A,SGASA204CR,67.25
BF775C-A,PK50A,24.05
BF775C-A,14V,88.75
CSA12CR,SGASA104BR,125.5
CSA12CR,RTD48,198.0
CSA12CR,SGA173BR,37.75
CSA12CR,SGHBF500A,252.0
CSA12CR,HSG319,53.5
CSA12CR,10MA,19.25
CSA12CR,SGASA204CR,67.25
CSA12CR,SGHF616BR,24.35
CSA12CR,10R,21.8
CSA12CR,PKNC200,61.0
CSA14CR,10MA,19.25
CSA14CR,SGRHT6BR,247.0
CSA14CR,SGA173BR,37.75
CSA14CR,SGHBF500A,252.0
CSA14CR,CSA8CR,40.25
CSA14CR,SGASA104BR,125.5
CSA14CR,SGASA204CR,67.25
CSA14CR,HSG319,53.5
CSA14CR,YA337A,28.0
CSA14CR,RTD48,198.0
CSA8CR,YA339A,18.6
CSA8CR,HSG319,53.5
CSA8CR,8R,18.3
CSA8CR,YA337A,28.0
CSA8CR,10MA,19.25
CSA8CR,SGASA204CR,67.25
CSA8CR,PK52A,25.75
CSA8CR,SGCP1BR,50.0
CSA8CR,AC58E,11.4
CSA8CR,SGA173BR,37.75
CSA8CR,AC5C,9.9
EXDL10A,10MA,19.25
EXDL10A,SGRHT6BR,247.0
EXDL10A,CSA8CR,40.25
EXDL10A,SGASA104BR,125.5
EXDL10A,HSG319,53.5
EXDL10A,SGA173BR,37.75
EXDL10A,RTD48,198.0
EXDL10A,CSA12CR,47.0
EXDL10A,SGASA204CR,67.25
EXDL10A,SGHBF500A,252.0
GA98A,SGASA104BR,125.5
GA98A,RTD48,198.0
GA98A,SGASA204CR,67.25
GA98A,YA337A,28.0
GA98A,HSG319,53.5
GA98A,YA339A,18.6
GA98A,8R,18.3
GA98A,10MA,19.25
GA98A,8HR,33.25
GA98A,10R,21.8
HSG319,YA337A,28.0
HSG319,PK53A,25.75
HSG319,PK23A,25.5
HSG319,YA339A,18.6
HSG319,GA98A,27.75
HSG319,SGASA204CR,67.25
HSG319,RTD48,198.0
HSG319,10MA,19.25
HSG319,8R,18.3
HSG319,AC58E,11.4
HSG319,SGHBF500A,252.0
HSG319,SGA173BR,37.75
HSG319,AC5C,9.9
HSG319,CSA12CR,47.0
HSG319,8HR,33.25
HSG319,SGHF616BR,24.35
HSG319,CSA8CR,40.25
HSG319,10R,21.8
HSG319,BF775C-A,155.0
HSG319,14V,88.75
HSG319,PKNC200,61.0
PK23A,CSA8CR,40.25
PK23A,HSG319,53.5
PK23A,SGASA204CR,67.25
PK23A,YA337A,28.0
PK23A,SGHF616BR,24.35
PK23A,SGA173BR,37.75
PK23A,AC58E,11.4
PK23A,AC5C,9.9
PK23A,8R,18.3
PK23A,10MA,19.25
PK50A,SGRHT6BR,247.0
PK50A,SGA173BR,37.75
PK50A,HSG319,53.5
PK50A,SGHBF500A,252.0
PK50A,CSA8CR,40.25
PK50A,SGASA104BR,125.5
PK50A,RTD48,198.0
PK50A,SGASA204CR,67.25
PK50A,14V,88.75
PK50A,BF775C-A,155.0
PK52A,SGASA104BR,125.5
PK52A,RTD48,198.0
PK52A,8R,18.3
PK52A,CSA8CR,40.25
PK52A,SGCP1BR,50.0
PK52A,AC58E,11.4
PK52A,8HR,33.25
PK52A,SGASA204CR,67.25
PK52A,10MA,19.25
PK52A,SGHF616BR,24.35
PK53A,SGASA104BR,125.5
PK53A,RTD48,198.0
PK53A,YA339A,18.6
PK53A,HSG319,53.5
PK53A,SGASA204CR,67.25
PK53A,CSA8CR,40.25
PK53A,10MA,19.25
PK53A,8R,18.3
PK53A,YA337A,28.0
PK53A,AC58E,11.4
PKNC125C2,10MA,19.25
PKNC125C2,SGRHT6BR,247.0
PKNC125C2,HSG319,53.5
PKNC125C2,SGHBF500A,252.0
PKNC125C2,SGASA104BR,125.5
PKNC125C2,RTD48,198.0
PKNC125C2,SGASA204CR,67.25
PKNC125C2,AC5C,9.9
PKNC125C2,CSA8CR,40.25
PKNC125C2,SGA173BR,37.75
PKNC150,PK23A,25.5
PKNC150,10MA,19.25
PKNC150,SGRHT6BR,247.0
PKNC150,HSG319,53.5
PKNC150,SGHBF500A,252.0
PKNC150,SGASA104BR,125.5
PKNC150,RTD48,198.0
PKNC150,SGASA204CR,67.25
PKNC150,CSA8CR,40.25
PKNC150,SGA173BR,37.75
PKNC200,SGA173BR,37.75
PKNC200,SGHBF500A,252.0
PKNC200,CSA8CR,40.25
PKNC200,SGASA104BR,125.5
PKNC200,RTD48,198.0
PKNC200,HSG319,53.5
PKNC200,CSA12CR,47.0
PKNC200,SGASA204CR,67.25
PKNC200,SGHF616BR,24.35
PKNC200,10R,21.8
PKRS1,CSA8CR,40.25
PKRS1,SGASA104BR,125.5
PKRS1,RTD48,198.0
PKRS1,SGASA204CR,67.25
PKRS1,PK50A,24.05
PKRS1,HSG319,53.5
PKRS1,AC58E,11.4
PKRS1,PK53A,25.75
PKRS1,BF775C-A,155.0
PKRS1,14V,88.75
RTD48,SGASA104BR,125.5
RTD48,RTD48,198.0
RTD48,YA337A,28.0
RTD48,AC58E,11.4
RTD48,HSG319,53.5
RTD48,SGASA204CR,67.25
RTD48,CSA12CR,47.0
RTD48,SGA173BR,37.75
RTD48,SGHBF500A,252.0
RTD48,CSA8CR,40.25
SG4ASABR,SGA173BR,37.75
SG4ASABR,SGHBF500A,252.0
SG4ASABR,SGASA104BR,125.5
SG4ASABR,RTD48,198.0
SG4ASABR,SGASA204CR,67.25
SG4ASABR,CSA8CR,40.25
SG4ASABR,10MA,19.25
SG4ASABR,8R,18.3
SG4ASABR,HSG319,53.5
SG4ASABR,SGHF616BR,24.35
SGA173BR,10MA,19.25
SGA173BR,YA337A,28.0
SGA173BR,HSG319,53.5
SGA173BR,8R,18.3
SGA173BR,SGASA204CR,67.25
SGA173BR,SGHBF500A,252.0
SGA173BR,AC58E,11.4
SGA173BR,CSA8CR,40.25
SGA173BR,RTD48,198.0
SGA173BR,CSA12CR,47.0
SGA173BR,AC5C,9.9
SGA173BR,PK23A,25.5
SGA173BR,SGHF616BR,24.35
SGASA104BR,PK23A,25.5
SGASA104BR,SGRHT6BR,247.0
SGASA104BR,SGA173BR,37.75
SGASA104BR,HSG319,53.5
SGASA104BR,SGHBF500A,252.0
SGASA104BR,CSA8CR,40.25
SGASA104BR,SGASA104BR,125.5
SGASA104BR,RTD48,198.0
SGASA104BR,SGASA204CR,67.25
SGASA104BR,10MA,19.25
SGASA204CR,YA337A,28.0
SGASA204CR,RTD48,198.0
SGASA204CR,8R,18.3
SGASA204CR,HSG319,53.5
SGASA204CR,SGHBF500A,252.0
SGASA204CR,SGA173BR,37.75
SGASA204CR,10MA,19.25
SGASA204CR,CSA8CR,40.25
SGASA204CR,SGCP1BR,50.0
SGASA204CR,CSA12CR,47.0
SGASA204CR,AC58E,11.4
SGASA204CR,PK23A,25.5
SGASA204CR,SGHF616BR,24.35
SGASA204CR,AC5C,9.9
SGASA204CR,PKNC200,61.0
SGASA204CR,10R,21.8
SGCP1BR,RTD48,198.0
SGCP1BR,HSG319,53.5
SGCP1BR,CSA8CR,40.25
SGCP1BR,SGASA204CR,67.25
SGCP1BR,YA337A,28.0
SGCP1BR,SGHF616BR,24.35
SGCP1BR,10MA,19.25
SGCP1BR,AC58E,11.4
SGCP1BR,8R,18.3
SGCP1BR,PK52A,25.75
SGHBF500A,10MA,19.25
SGHBF500A,SGRHT6BR,247.0
SGHBF500A,SGHBF500A,252.0
SGHBF500A,CSA8CR,40.25
SGHBF500A,SGASA104BR,125.5
SGHBF500A,SGA173BR,37.75
SGHBF500A,HSG319,53.5
SGHBF500A,SGASA204CR,67.25
SGHBF500A,RTD48,198.0
SGHBF500A,CSA12CR,47.0
SGHF616BR,SGA173BR,37.75
SGHF616BR,HSG319,53.5
SGHF616BR,YA337A,28.0
SGHF616BR,10MA,19.25
SGHF616BR,8R,18.3
SGHF616BR,SGASA204CR,67.25
SGHF616BR,CSA12CR,47.0
SGHF616BR,8HR,33.25
SGHF616BR,10R,21.8
SGHF616BR,PKNC200,61.0
TF1127B,10MA,19.25
TF1127B,SGRHT6BR,247.0
TF1127B,SGA173BR,37.75
TF1127B,HSG319,53.5
TF1127B,SGHBF500A,252.0
TF1127B,CSA8CR,40.25
TF1127B,SGASA104BR,125.5
TF1127B,RTD48,198.0
TF1127B,SGASA204CR,67.25
TF1127B,TF1124B,24.85
TFTFM932A,SGHBF500A,252.0
TFTFM932A,CSA8CR,40.25
TFTFM932A,SGASA104BR,125.5
TFTFM932A,RTD48,198.0
TFTFM932A,HSG319,53.5
TFTFM932A,SGA173BR,37.75
TFTFM932A,AC58E,11.4
TFTFM932A,PK23A,25.5
TFTFM932A,SGASA204CR,67.25
TFTFM932A,AC5C,9.9
YA337A,YA339A,18.6
YA337A,PK53A,25.75
YA337A,HSG319,53.5
YA337A,SGASA204CR,67.25
YA337A,CSA8CR,40.25
YA337A,10MA,19.25
YA337A,SGHF616BR,24.35
YA337A,8R,18.3
YA337A,8HR,33.25
YA337A,RTD48,198.0
YA337A,10R,21.8
YA339A,SGASA104BR,125.5
YA339A,RTD48,198.0
YA339A,HSG319,53.5
YA339A,CSA8CR,40.25
YA339A,YA337A,28.0
YA339A,8R,18.3
YA339A,10MA,19.25
YA339A,GA98A,27.75
YA339A,8HR,33.25
YA339A,SGASA204CR,67.25
BF620C,HBFE16,80.75
BF620C,HBFE48,134.5
BF620C,HBFE103,323.0
BF620C,HBBD32,154.0
BF620C,BP16B,54.5
BF620C,HBBD24,137.5
BF620C,HBFE24,86.25
BF620C,HBBD16,109.5
BF620C,HBPT16,87.5
BF620C,HBFE32,102.5
BP12B,HBFE103,323.0
BP12B,HBFE32,102.5
BP12B,HBBD16,109.5
BP12B,HBBD24,137.5
BP12B,HBBD32,154.0
BP12B,HBFE24,86.25
BP12B,BP16B,54.5
BP12B,HBFE16,80.75
BP12B,BP8B,44.75
BP12B,HBBT16,108.0
BP16B,HBFE48,134.5
BP16B,HBFE24,86.25
BP16B,HBFE103,323.0
BP16B,HBBD16,109.5
BP16B,HBBD24,137.5
BP16B,HBBD32,154.0
BP16B,HBFE32,102.5
BP16B,BP24B,60.75
BP16B,BP32B,64.75
BP16B,BP8B,44.75
BP24B,HBFE48,134.5
BP24B,HBFE24,86.25
BP24B,HBFE103,323.0
BP24B,HBFE32,102.5
BP24B,HBBD16,109.5
BP24B,HBBD24,137.5
BP24B,HBBD32,154.0
BP24B,BP16B,54.5
BP24B,BP32B,64.75
BP24B,BP8B,44.75
BP32B,HBPT16,87.5
BP32B,HBFE48,134.5
BP32B,HBFE24,86.25
BP32B,HBBD24,137.5
BP32B,HBFE103,323.0
BP32B,HBBD32,154.0
BP32B,HBFE32,102.5
BP32B,BP16B,54.5
BP32B,HBBD16,109.5
BP32B,BP24B,60.75
BP40B,HBFE32,102.5
BP40B,HBBD16,109.5
BP40B,HBBD24,137.5
BP40B,HBBD32,154.0
BP40B,HBFE24,86.25
BP40B,BP16B,54.5
BP40B,BP24B,60.75
BP40B,BP12B,48.0
BP40B,BP32B,64.75
BP40B,HBBT16,108.0
BP8B,HBPT16,87.5
BP8B,HBFE48,134.5
BP8B,HBFE24,86.25
BP8B,HBFE103,323.0
BP8B,HBBD16,109.5
BP8B,HBBD24,137.5
BP8B,HBBD32,154.0
BP8B,HBFE32,102.5
BP8B,BP16B,54.5
BP8B,BP32B,64.75
HBBD16,BP16B,54.5
HBBD16,HBPT16,87.5
HBBD16,HBFE48,134.5
HBBD16,HBFE24,86.25
HBBD16,HBFE103,323.0
HBBD16,HBFE32,102.5
HBBD16,HBBD16,109.5
HBBD16,HBBD32,154.0
HBBD16,HBBD24,137.5
HBBD16,BP24B,60.75
HBBD24,HBFE16,80.75
HBBD24,HBPT16,87.5
HBBD24,HBFE32,102.5
HBBD24,HBBD24,137.5
HBBD24,HBFE103,323.0
HBBD24,BP16B,54.5
HBBD24,HBBD32,154.0
HBBD24,HBFE48,134.5
HBBD24,HBBD16,109.5
HBBD24,HBFE24,86.25
HBBD32,HBFE16,80.75
HBBD32,BP16B,54.5
HBBD32,HBPT16,87.5
HBBD32,HBFE48,134.5
HBBD32,HBFE24,86.25
HBBD32,HBFE103,323.0
HBBD32,HBFE32,102.5
HBBD32,HBBD32,154.0
HBBD32,HBBD24,137.5
HBBD32,HBBD16,109.5
HBBD56,HBFE16,80.75
HBBD56,BP16B,54.5
HBBD56,HBPT16,87.5
HBBD56,HBFE24,86.25
HBBD56,HBFE103,323.0
HBBD56,HBFE32,102.5
HBBD56,HBBD32,154.0
HBBD56,HBBD24,137.5
HBBD56,HBFE48,134.5
HBBD56,HBBD16,109.5
HBBD8,HBFE16,80.75
HBBD8,BP16B,54.5
HBBD8,HBPT16,87.5
HBBD8,HBFE48,134.5
HBBD8,HBFE103,323.0
HBBD8,HBFE32,102.5
HBBD8,HBBD24,137.5
HBBD8,HBFE24,86.25
HBBD8,HBBD32,154.0
HBBD8,HBBD16,109.5
HBBT16,HBFE48,134.5
HBBT16,HBFE103,323.0
HBBT16,HBBD24,137.5
HBBT16,HBBD32,154.0
HBBT16,HBFE24,86.25
HBBT16,HBBD16,109.5
HBBT16,HBPT16,87.5
HBBT16,BP16B,54.5
HBBT16,HBFE32,102.5
HBBT16,BP12B,48.0
HBFE103,HBPT16,87.5
HBFE103,HBFE24,86.25
HBFE103,HBFE103,323.0
HBFE103,HBFE32,102.5
HBFE103,HBBD24,137.5
HBFE103,HBFE48,134.5
HBFE103,BP16B,54.5
HBFE103,HBBD32,154.0
HBFE103,HBBD16,109.5
HBFE103,BP24B,60.75
HBFE16,HBFE24,86.25
HBFE16,HBFE103,323.0
HBFE16,HBFE32,102.5
HBFE16,HBBD24,137.5
HBFE16,BP16B,54.5
HBFE16,HBFE48,134.5
HBFE16,HBBD32,154.0
HBFE16,HBBD16,109.5
HBFE16,BP24B,60.75
HBFE16,BP32B,64.75
HBFE24,HBFE103,323.0
HBFE24,HBFE32,102.5
HBFE24,HBBD16,109.5
HBFE24,BP16B,54.5
HBFE24,HBBD24,137.5
HBFE24,HBFE48,134.5
HBFE24,HBBD32,154.0
HBFE24,BP24B,60.75
HBFE24,BP12B,48.0
HBFE24,HBBT16,108.0
HBFE32,HBFE24,86.25
HBFE32,HBFE103,323.0
HBFE32,HBFE32,102.5
HBFE32,HBBD24,137.5
HBFE32,HBFE48,134.5
HBFE32,HBBD32,154.0
HBFE32,BP16B,54.5
HBFE32,HBPT16,87.5
HBFE32,HBBD16,109.5
HBFE32,BP32B,64.75
HBFE48,HBFE16,80.75
HBFE48,HBPT16,87.5
HBFE48,HBFE48,134.5
HBFE48,HBFE24,86.25
HBFE48,HBFE103,323.0
HBFE48,HBBD16,109.5
HBFE48,HBFE32,102.5
HBFE48,HBBD24,137.5
HBFE48,HBBD32,154.0
HBFE48,BP16B,54.5
HBPT16,HBPT16,87.5
HBPT16,HBFE24,86.25
HBPT16,HBFE103,323.0
HBPT16,HBBD24,137.5
HBPT16,HBBD16,109.5
HBPT16,BP16B,54.5
HBPT16,HBFE48,134.5
HBPT16,HBBD32,154.0
HBPT16,HBFE32,102.5
