item_sku,rec_sku,category,rec_category
TMMS7,SPBS8AR,Socket and Drive Tools,General Hand Tools
TMMS7,47ACF,Socket and Drive Tools,Pliers
TMMS7,SGD4BR,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
TMMS7,SGDP42IRBR,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
TMMS7,SGDP31IRBR,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
TMMS7,SGD2BR,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
TMMS7,SHD1R,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
TMMS7,SGD8BR,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
TMMS7,SRPCR4700,Socket and Drive Tools,Pliers
TMMS7,PPC4A,Socket and Drive Tools,"Hammers, Punches, and Chisels"
FTX40E,SPBS18AR,Socket and Drive Tools,General Hand Tools
FTX40E,SPBS12AR,Socket and Drive Tools,General Hand Tools
FTX40E,SPBS8AR,Socket and Drive Tools,General Hand Tools
FTX40E,91ACP,Socket and Drive Tools,Pliers
FTX40E,SGDP42IRBR,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
FTX40E,SGD2BR,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
FTX40E,SHD1R,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
FTX40E,ATECH2FR125B,Socket and Drive Tools,Electronic Torque Wrenches
FTX40E,SRPCR4700,Socket and Drive Tools,Pliers
FTX40E,PPC103A,Socket and Drive Tools,"Hammers, Punches, and Chisels"
HBBD16,SOEXM8,"Hammers, Punches, and Chisels",Wrenches
HBBD16,S9704KR,"Hammers, Punches, and Chisels",Job Specific Tools
HBBD16,211EFAMY,"Hammers, Punches, and Chisels",Socket and Drive Tools
HBBD16,AWS13,"Hammers, Punches, and Chisels","Screwdrivers, Nut Drivers & Keys"
HBBD16,SOEXM9,"Hammers, Punches, and Chisels",Wrenches
HBBD16,MTTL300,"Hammers, Punches, and Chisels",Testing and Electronics
HBBD16,PTIM5,"Hammers, Punches, and Chisels",General Hand Tools [Blue-Point]
