item_sku,rec_sku,category,rec_category
TMMS7,SGASA204CR,Socket and Drive Tools,General Hand Tools
TMMS7,47ACF,Socket and Drive Tools,Pliers
TMMS7,SGDP42IRBR,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
TMMS7,SHD1R,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
TMMS7,96ACF,Socket and Drive Tools,Pliers
TMMS7,ATECH2FR125B,Socket and Drive Tools,Electronic Torque Wrenches
TMMS7,SGD8BR,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
TMMS7,SRPCR3800,Socket and Drive Tools,Pliers
TMMS7,PPC103A,Socket and Drive Tools,Punches & Chisels
TMMS7,SHDP42IRR,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
FTX40E,SPBS8AR,Socket and Drive Tools,General Hand Tools
FTX40E,SGD4BR,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
FTX40E,91ACP,Socket and Drive Tools,Pliers
FTX40E,SGD6BR,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
FTX40E,96ACF,Socket and Drive Tools,Pliers
FTX40E,SRPCR3800,Socket and Drive Tools,Pliers
FTX40E,SRPCR4700,Socket and Drive Tools,Pliers
FTX40E,PPC103A,Socket and Drive Tools,Punches & Chisels
FTX40E,ATECH3FR300B,Socket and Drive Tools,Electronic Torque Wrenches
FTX40E,PPC4A,Socket and Drive Tools,Punches & Chisels
HBBD16,SOEXM8,Hammers,Wrenches
HBBD16,S9704KR,Hammers,Job Specific Tools
HBBD16,211EFAMY,Hammers,Socket and Drive Tools
HBBD16,AWS13,Hammers,"Screwdrivers, Nut Drivers & Keys"
HBBD16,SOEXM9,Hammers,Wrenches
HBBD16,120STTM,Hammers,Socket and Drive Tools
HBBD16,MTTL300,Hammers,Testing and Electronics
HBBD16,PTIM5,Hammers,General Hand Tools
HBBD16,AT4135,Hammers,Power Tool Accessories
HBBD16,PK52A,Hammers,General Hand Tools
STMM5.5,SPBS18AR,Socket and Drive Tools,General Hand Tools
STMM5.5,SGASA204CR,Socket and Drive Tools,General Hand Tools
STMM5.5,SPBS8AR,Socket and Drive Tools,General Hand Tools
STMM5.5,47ACF,Socket and Drive Tools,Pliers
STMM5.5,SGD4BR,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
STMM5.5,91ACP,Socket and Drive Tools,Pliers
STMM5.5,SGDP31IRBR,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
STMM5.5,SGD2BR,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
STMM5.5,SHD1R,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
STMM5.5,96ACF,Socket and Drive Tools,Pliers
