item_sku,rec_sku,category,rec_category
TMMS7,TMD11,Flank Drive® Sockets,Flank Drive® Sockets
TMMS7,TMD16,Flank Drive® Sockets,Flank Drive® Sockets
TMMS7,SFSM9,Flank Drive® Sockets,Flank Drive® Sockets
TMMS7,SFSM18,Flank Drive® Sockets,Flank Drive® Sockets
TMMS7,212FSMSY,Flank Drive® Sockets,Flank Drive® Sockets
TMMS7,TMMS10,Flank Drive® Sockets,Flank Drive® Sockets
TMMS7,211FSSY,Flank Drive® Sockets,Flank Drive® Sockets
TMMS7,TMMS8,Flank Drive® Sockets,Flank Drive® Sockets
TMMS7,TMMS13,Flank Drive® Sockets,Flank Drive® Sockets
TMMS7,TMMS15,Flank Drive® Sockets,Flank Drive® Sockets
FTX40E,FTX45E,TORX® Bit Sockets,TORX® Bit Sockets
FTX40E,FTX50E,TORX® Bit Sockets,TORX® Bit Sockets
FTX40E,TTX20E,TORX® Bit Sockets,TORX® Bit Sockets
FTX40E,TTX25E,TORX® Bit Sockets,TORX® Bit Sockets
FTX40E,TTX15E,TORX® Bit Sockets,TORX® Bit Sockets
FTX40E,TTX10E,TORX® Bit Sockets,TORX® Bit Sockets
FTX40E,TTX8E,TORX® Bit Sockets,TORX® Bit Sockets
FTX40E,FLE140A,TORX® Bit Sockets,TORX® Bit Sockets
FTX40E,FTXB45E,TORX® Bit Sockets,TORX® Bit Sockets
FTX40E,210EFTXRY,TORX® Bit Sockets,TORX® Bit Sockets
HBBD16,PPC103A,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
HBBD16,PPC4A,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
HBBD16,PPC816B,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
HBBD16,PPC206A,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
HBBD16,PPC203A,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
HBBD16,HBBD32,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
HBBD16,PPC1A,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
HBBD16,HBFE32,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
HBBD16,HBBD24,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
HBBD16,HBFE48,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
STMM5.5,TMM10,Flank Drive® Sockets,Flank Drive® Sockets
STMM5.5,TMM8,Flank Drive® Sockets,Flank Drive® Sockets
STMM5.5,TMM7,Flank Drive® Sockets,Flank Drive® Sockets
STMM5.5,TMM13,Flank Drive® Sockets,Flank Drive® Sockets
STMM5.5,TMM5.5,Flank Drive® Sockets,Flank Drive® Sockets
STMM5.5,TMM12,Flank Drive® Sockets,Flank Drive® Sockets
STMM5.5,TMM14,Flank Drive® Sockets,Flank Drive® Sockets
STMM5.5,TMM11,Flank Drive® Sockets,Flank Drive® Sockets
STMM5.5,TMM6,Flank Drive® Sockets,Flank Drive® Sockets
