,query_sku,rec_sku,price
175,110TMY,212SFSMY,391.0
176,110TMY,GSAF1F,27.0
177,110TMY,FXK6,42.0
178,110TMY,96ACF,59.5
179,110TMY,TMXK60,28.75
180,111STMMDY,110TMDY,177.5
181,111STMMDY,112STMMY,355.0
182,111STMMDY,212SFSMY,391.0
183,111STMMDY,110STMDY,284.0
184,111STMMDY,S9706KRA,51.25
185,111STMMDY,211FY,246.0
186,111STMMDY,211SFSY,377.0
187,111STMMDY,F80,142.0
188,111STMMDY,112TMMY,245.0
189,111STMMDY,FXK6,42.0
190,111TMMDY,F80,142.0
191,111TMMDY,110STMDY,284.0
192,111TMMDY,211SFSY,377.0
193,111TMMDY,EC-USB-C-3A,43.25
194,111TMMDY,S9706KRA,51.25
195,111TMMDY,112STMMY,355.0
196,111TMMDY,FXK3,34.25
197,111TMMDY,212SFSMY,391.0
198,111TMMDY,FXK6,42.0
199,111TMMDY,110TMDY,177.5
200,111TMUSMA,210FRHMA,292.0
201,111TMUSMA,212FSMSY,321.0
202,111TMUSMA,YA9350B,227.5
203,111TMUSMA,207FHRM,196.0
204,111TMUSMA,CTG861K1,365.95
205,111TMUSMA,131TMPB,785.0
206,111TMUSMA,206EFAML,236.25
207,111TMUSMA,13ELECTBP14KIT,955.0
208,111TMUSMA,206ESSPKPLG2,417.0
209,111TMUSMA,OEXM320B,156.0
210,112RTMA,THNF72,161.0
211,112RTMA,THLLF72,179.5
212,112RTMA,BLPEXTF388,33.0
213,112RTMA,110TMDY,177.5
214,112RTMA,TMU81B,57.75
215,112RTMA,FZERO,239.0
216,112RTMA,110STMDY,284.0
217,112RTMA,TF72,142.0
218,112RTMA,THLF72,154.5
219,112RTMA,131TMPB,785.0
220,112RTSMA,UTK150,44.25
221,112RTSMA,110RTSMA,213.0
222,112RTSMA,207FHRM,196.0
223,112RTSMA,FC72,116.0
224,112RTSMA,XFRM705,590.0
225,112RTSMA,206EFAML,236.25
226,112RTSMA,PPCSG710,321.0
227,112RTSMA,131TMPB,785.0
228,112RTSMA,ECUHD218,379.0
229,112RTSMA,112TMMDSY,307.0
230,112SIMTMM,106IPTMMA,358.0
231,112SIMTMM,207IPFM,435.0
232,112SIMTMM,304IMX,243.0
233,112SIMTMM,SOEX704,465.0
234,112SIMTMM,SOEXM710,510.0
235,112SIMTMM,110TMDY,177.5
236,112SIMTMM,106TMUSMA,359.0
237,112SIMTMM,313SIMA,620.0
238,112SIMTMM,B1356E,52.25
239,112SIMTMM,IMX61,37.25
240,112STMMY,UIM225,28.75
241,112STMMY,97ACF,64.75
242,112STMMY,PRH57A,78.75
243,112STMMY,SPBS704AR,274.0
244,112STMMY,TMXK60,28.75
245,112STMMY,F80,142.0
246,112STMMY,SGASA204CR,67.25
247,112STMMY,SOEXM710,510.0
248,112STMMY,PWC6,30.75
249,112STMMY,206EAU,205.5
250,112TMMDSY,112TMMSY,307.0
251,112TMMDSY,211FSY,246.0
252,112TMMDSY,VS814A,1035.0
253,112TMMDSY,210IMFSYA,243.5
254,112TMMDSY,FRW10,240.0
255,112TMMDSY,110TMSY,247.0
256,112TMMDSY,ECUHD218,379.0
257,112TMMDSY,206SFSUM,473.0
258,112TMMDSY,TM72,123.5
259,112TMMDSY,212FSMSY,321.0
260,112TMMSY,112TMMSY,307.0
261,112TMMSY,307IPLMY,640.0
262,112TMMSY,106IPTMMA,358.0
263,112TMMSY,207IPSFM,429.0
264,112TMMSY,PPCSG710,321.0
265,112TMMSY,207IPFM,435.0
266,112TMMSY,SOEXM8,41.0
267,112TMMSY,325SIMM,1265.0
268,112TMMSY,SGDXL80BR,263.0
269,112TMMSY,112RTSMA,303.0
