item_sku,rec_sku,category,rec_category
IPDLM17A,BPPC1878,Socket and Drive Tools,"Hammers, Punches, and Chisels"
IPDLM17A,PPC816B,Socket and Drive Tools,"Hammers, Punches, and Chisels"
IPDLM17A,SPBS18AR,Socket and Drive Tools,General Hand Tools
R404,R1618SC,Job Specific Tools,Wrenches
R404,AWMG9-7,Job Specific Tools,"Screwdrivers, Nut Drivers & Keys"
R404,SEPPT850KA,Job Specific Tools,"Power Tools, Air"
R404,TF275A,Job Specific Tools,General Hand Tools
R404,TC15A,Job Specific Tools,General Hand Tools
R404,AWEFBH11K,Job Specific Tools,"Screwdrivers, Nut Drivers & Keys"
R404,TBS200A,Job Specific Tools,General Hand Tools
R404,AWM110DHK,Job Specific Tools,"Screwdrivers, Nut Drivers & Keys"
R404,TF5A,Job Specific Tools,General Hand Tools
R404,206AFSP,Job Specific Tools,Socket and Drive Tools
SR80A,BOERM22,Socket and Drive Tools,Wrenches
SR80A,BOERM21,Socket and Drive Tools,Wrenches
SR80A,PPCL60BK,Socket and Drive Tools,"Hammers, Punches, and Chisels"
SR80A,KRA2407PBO,Socket and Drive Tools,Classic Series Tool Storage
SR80A,HBPT24,Socket and Drive Tools,"Hammers, Punches, and Chisels"
SR80A,TA360,Socket and Drive Tools,
SR80A,PHP2A,Socket and Drive Tools,Job Specific Tools
SR80A,QD3250A,Socket and Drive Tools,Mechanical Adjustable Click Type
SR80A,RBYA605,Socket and Drive Tools,Wrenches
SR80A,AWEF6K,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
SFSM11,AWCGT500,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
SFSM11,UIM225,Socket and Drive Tools,General Hand Tools
SFSM11,PKNC150,Socket and Drive Tools,General Hand Tools
SFSM11,UPTM65K,Socket and Drive Tools,General Hand Tools
SFSM11,PL400B,Socket and Drive Tools,Pliers
SFSM11,SGD6BR,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
SFSM11,LN46ACF,Socket and Drive Tools,Pliers
SFSM11,SPBS18AR,Socket and Drive Tools,General Hand Tools
SFSM11,SGDP31IRBR,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
SGA173BR,317AMMPC,Job Specific Tools,Socket and Drive Tools
SGA173BR,AWM110DHK,Job Specific Tools,"Screwdrivers, Nut Drivers & Keys"
